iter	Passed	Remaining
402	13597	20143
403	13633	20112
404	13666	20077
405	13699	20043
406	13734	20010
407	13767	19976
408	13801	19943
409	13833	19907
410	13867	19873
411	13900	19839
412	13933	19803
413	13966	19768
414	14001	19736
415	14037	19706
416	14072	19674
417	14107	19642
418	14139	19606
419	14171	19570
420	14204	19535
421	14237	19500
422	14270	19466
423	14303	19431
424	14338	19399
425	14372	19365
426	14404	19330
427	14440	19298
428	14473	19264
429	14507	19230
430	14544	19200
431	14581	19171
432	14616	19139
433	14649	19105
434	14684	19073
435	14719	19040
436	14753	19007
437	14787	18974
438	14824	18943
439	14857	18908
440	14888	18872
441	14922	18838
442	14956	18805
443	14988	18770
444	15021	18735
445	15057	18703
446	15091	18670
447	15125	18636
448	15161	18605
449	15193	18569
450	15227	18536
451	15261	18502
452	15309	18486
453	15345	18454
454	15378	18420
455	15412	18387
456	15445	18352
457	15479	18318
458	15515	18286
459	15554	18259
460	15588	18225
461	15623	18193
462	15660	18162
463	15695	18130
464	15729	18097
465	15765	18066
466	15799	18032
467	15833	17998
468	15867	17965
469	15899	17929
470	15932	17894
471	15965	17859
472	16001	17827
473	16034	17794
474	16067	17758
475	16104	17728
476	16141	17697
477	16174	17663
478	16209	17630
479	16245	17598
480	16278	17564
481	16311	17530
482	16346	17496
483	16379	17462
484	16411	17427
485	16445	17392
486	16478	17358
487	16512	17324
488	16546	17290
489	16579	17255
490	16622	17232
491	16654	17196
492	16688	17162
493	16722	17129
494	16755	17094
495	16788	17059
496	16822	17025
497	16855	16990
498	16888	16956
499	16923	16923
500	16960	16892
501	16993	16858
502	17028	16825
503	17062	16792
504	17096	16758
505	17128	16722
506	17164	16690
507	17198	16657
508	17231	16622
509	17263	16586
510	17297	16553
511	17329	16517
512	17364	16483
513	17399	16451
514	17434	16418
515	17468	16385
516	17502	16351
517	17538	16319
518	17574	16287
519	17608	16253
520	17644	16222
521	17678	16187
522	17711	16153
523	17746	16121
524	17780	16087
525	17814	16053
526	17847	16018
527	17880	15984
528	17915	15951
529	17953	15921
530	17988	15888
531	18035	15865
532	18070	15832
533	18103	15797
534	18137	15763
535	18170	15729
536	18205	15696
537	18239	15663
538	18273	15628
539	18306	15594
540	18339	15559
541	18375	15527
542	18410	15494
543	18445	15461
544	18479	15427
545	18519	15399
546	18555	15366
547	18588	15332
548	18625	15300
549	18658	15266
550	18692	15231
551	18726	15198
552	18760	15164
553	18793	15129
554	18827	15095
555	18862	15062
556	18897	15029
557	18931	14996
558	18969	14964
559	19003	14931
560	19036	14896
561	19070	14862
562	19106	14830
563	19139	14796
564	19172	14761
565	19206	14726
566	19239	14692
567	19272	14657
568	19306	14623
569	19341	14590
570	19374	14556
571	19408	14522
572	19445	14490
573	19478	14456
574	19512	14422
575	19547	14389
576	19584	14357
577	19619	14324
578	19654	14291
579	19690	14258
580	19723	14223
581	19757	14190
582	19793	14157
583	19826	14123
584	19861	14089
585	19896	14056
586	19931	14023
587	19965	13989
588	19999	13955
589	20034	13922
590	20069	13888
591	20101	13854
592	20136	13820
593	20170	13786
594	20203	13752
595	20236	13717
596	20272	13684
597	20304	13649
598	20340	13616
599	20381	13587
600	20418	13555
601	20456	13524
602	20489	13489
603	20524	13456
604	20559	13423
605	20592	13388
606	20626	13354
607	20660	13320
608	20695	13287
609	20728	13252
610	20763	13219
611	20799	13186
612	20840	13157
613	20876	13124
614	20911	13091
